vehicle_id,trip_id,measurement_sequence,measurement_time,latitude,longitude,fuel_capacity,distance_traveled,fuel_remaining_percent,fuel_remaining_gallon,color
1,1,1,2024-04-22 11:41:51,39.67120876065904,-98.69669713943337,50,12,99,49.9,green
1,1,2,2024-04-22 11:46:51,39.514117521318084,-98.81362734106898,50,25,99,49.8,green
1,1,3,2024-04-22 11:51:51,39.35702628197713,-98.93029269315063,50,37,99,49.6,green
1,1,4,2024-04-22 11:56:51,39.19993504263617,-99.04669526579598,50,50,99,49.5,green
1,1,5,2024-04-22 12:01:51,39.04284380329521,-99.16283711122823,50,62,98,49.4,green
1,1,6,2024-04-22 12:06:51,38.885752563954256,-99.2787202640044,50,75,98,49.2,green
1,1,7,2024-04-22 12:11:51,38.7286613246133,-99.39434674124007,50,87,98,49.1,green
1,1,8,2024-04-22 12:16:51,38.57157008527234,-99.50971854283067,50,100,98,49.0,green
1,1,9,2024-04-22 12:21:51,38.414478845931384,-99.62483765166957,50,112,97,48.9,green
1,1,10,2024-04-22 12:26:51,38.25738760659043,-99.73970603386279,50,125,97,48.8,green
1,1,11,2024-04-22 12:31:51,38.10029636724947,-99.85432563894054,50,137,97,48.6,green
1,1,12,2024-04-22 12:36:51,37.94320512790851,-99.96869840006555,50,150,97,48.5,green
1,1,13,2024-04-22 12:41:51,37.786113888567556,-100.08282623423837,50,162,96,48.4,green
1,1,14,2024-04-22 12:46:51,37.6290226492266,-100.19671104249956,50,175,96,48.2,green
1,1,15,2024-04-22 12:51:51,37.47193140988564,-100.31035471012896,50,187,96,48.1,green
1,1,16,2024-04-22 12:56:51,37.314840170544684,-100.42375910684198,50,200,96,48.0,green
1,1,17,2024-04-22 13:01:51,37.15774893120373,-100.536926086983,50,212,95,47.9,green
1,1,18,2024-04-22 13:06:51,37.00065769186277,-100.64985748971596,50,225,95,47.8,green
1,1,19,2024-04-22 13:11:51,36.84356645252181,-100.76255513921217,50,237,95,47.6,green
1,1,20,2024-04-22 13:16:51,36.686475213180856,-100.87502084483543,50,250,95,47.5,green
1,1,21,2024-04-22 13:21:51,36.5293839738399,-100.98725640132437,50,262,94,47.4,green
1,1,22,2024-04-22 13:26:51,36.37229273449894,-101.09926358897226,50,275,94,47.2,green
1,1,23,2024-04-22 13:31:51,36.215201495157984,-101.21104417380415,50,287,94,47.1,green
1,1,24,2024-04-22 13:36:51,36.05811025581703,-101.32259990775155,50,300,94,47.0,green
1,1,25,2024-04-22 13:41:51,35.90101901647607,-101.43393252882453,50,312,93,46.9,green
1,1,26,2024-04-22 13:46:51,35.74392777713511,-101.54504376128143,50,325,93,46.8,green
1,1,27,2024-04-22 13:51:51,35.586836537794156,-101.65593531579616,50,337,93,46.6,green
1,1,28,2024-04-22 13:56:51,35.4297452984532,-101.76660888962306,50,350,93,46.5,green
1,1,29,2024-04-22 14:01:51,35.27265405911224,-101.87706616675955,50,362,92,46.4,green
1,1,30,2024-04-22 14:06:51,35.115562819771284,-101.98730881810637,50,375,92,46.2,green
1,1,31,2024-04-22 14:11:51,34.95847158043033,-102.09733850162569,50,387,92,46.1,green
1,1,32,2024-04-22 14:16:51,34.80138034108937,-102.2071568624969,50,400,92,46.0,green
1,1,33,2024-04-22 14:21:51,34.64428910174841,-102.31676553327036,50,412,91,45.9,green
1,1,34,2024-04-22 14:26:51,34.487197862407456,-102.42616613401886,50,425,91,45.8,green
1,1,35,2024-04-22 14:31:51,34.3301066230665,-102.53536027248717,50,437,91,45.6,green
1,1,36,2024-04-22 14:36:51,34.17301538372554,-102.64434954423935,50,450,91,45.5,green
1,1,37,2024-04-22 14:41:51,34.015924144384584,-102.75313553280415,50,462,90,45.4,green
1,1,38,2024-04-22 14:46:51,33.85883290504363,-102.86171980981842,50,475,90,45.2,green
1,1,39,2024-04-22 14:51:51,33.70174166570267,-102.97010393516848,50,487,90,45.1,green
1,1,40,2024-04-22 14:56:51,33.54465042636171,-103.07828945712964,50,500,90,45.0,green
1,1,41,2024-04-22 15:01:51,33.387559187020756,-103.18627791250383,50,512,89,44.9,green
1,1,42,2024-04-22 15:06:51,33.2304679476798,-103.2940708267553,50,525,89,44.8,green
1,1,43,2024-04-22 15:11:51,33.07337670833884,-103.40166971414463,50,537,89,44.6,green
1,1,44,2024-04-22 15:16:51,32.916285468997884,-103.50907607786078,50,550,89,44.5,green
1,1,45,2024-04-22 15:21:51,32.75919422965693,-103.61629141015149,50,562,88,44.4,green
1,1,46,2024-04-22 15:26:51,32.60210299031597,-103.72331719245187,50,575,88,44.2,green
1,1,47,2024-04-22 15:31:51,32.44501175097501,-103.83015489551137,50,587,88,44.1,green
1,1,48,2024-04-22 15:36:51,32.287920511634056,-103.93680597951897,50,600,88,44.0,green
1,1,49,2024-04-22 15:41:51,32.1308292722931,-104.04327189422678,50,612,87,43.9,green
1,1,50,2024-04-22 15:46:51,31.973738032952138,-104.14955407907203,50,625,87,43.8,green
1,1,51,2024-04-22 15:51:51,31.816646793611177,-104.2556539632974,50,637,87,43.6,green
1,1,52,2024-04-22 15:56:51,31.659555554270217,-104.36157296606982,50,650,87,43.5,green
1,1,53,2024-04-22 16:01:51,31.502464314929256,-104.46731249659769,50,662,86,43.4,green
1,1,54,2024-04-22 16:06:51,31.345373075588295,-104.57287395424666,50,675,86,43.2,green
1,1,55,2024-04-22 16:11:51,31.188281836247334,-104.67825872865386,50,687,86,43.1,green
1,1,56,2024-04-22 16:16:51,31.031190596906374,-104.7834681998406,50,700,86,43.0,green
1,1,57,2024-04-22 16:21:51,30.874099357565413,-104.88850373832372,50,712,85,42.9,green
1,1,58,2024-04-22 16:26:51,30.717008118224452,-104.99336670522551,50,725,85,42.8,green
1,1,59,2024-04-22 16:31:51,30.55991687888349,-105.09805845238215,50,737,85,42.6,green
1,1,60,2024-04-22 16:36:51,30.40282563954253,-105.20258032245083,50,750,85,42.5,green
1,1,61,2024-04-22 16:41:51,30.24573440020157,-105.30693364901555,50,762,84,42.4,green
1,1,62,2024-04-22 16:46:51,30.08864316086061,-105.41111975669148,50,775,84,42.2,green
1,1,63,2024-04-22 16:51:51,29.93155192151965,-105.51513996122812,50,787,84,42.1,green
1,1,64,2024-04-22 16:56:51,29.774460682178688,-105.6189955696111,50,800,84,42.0,green
1,1,65,2024-04-22 17:01:51,29.617369442837727,-105.72268788016274,50,812,83,41.9,green
1,1,66,2024-04-22 17:06:51,29.460278203496767,-105.82621818264131,50,825,83,41.8,green
1,1,67,2024-04-22 17:11:51,29.303186964155806,-105.92958775833917,50,837,83,41.6,green
1,1,68,2024-04-22 17:16:51,29.146095724814845,-106.03279788017956,50,850,83,41.5,green
1,1,69,2024-04-22 17:21:51,28.989004485473885,-106.1358498128123,50,862,82,41.4,green
1,1,70,2024-04-22 17:26:51,28.831913246132924,-106.23874481270826,50,875,82,41.2,green
1,1,71,2024-04-22 17:31:51,28.674822006791963,-106.34148412825276,50,887,82,41.1,green
